Characteristic,Expenditure in million GBP
Q4 2020,28955
Q3 2020,28945
Q2 2020,39637
Q1 2020,28824
Q4 2019,25205
Q3 2019,25244
Q2 2019,25243
Q1 2019,25230
Q4 2018,25216
Q3 2018,25110
Q2 2018,25011
Q1 2018,24879
Q4 2017,24683
Q3 2017,24690
Q2 2017,24562
Q1 2017,24554
Q4 2016,24599
Q3 2016,24081
Q2 2016,23528
Q1 2016,23030
Q4 2015,22491
Q3 2015,22215
Q2 2015,22153
Q1 2015,22089
Q4 2014,22409
Q3 2014,22656
Q2 2014,22443
Q1 2014,22337
Q4 2013,22159
Q3 2013,21863
Q2 2013,21580
Q1 2013,21563
