Characteristic,Expenditure in million GBP
2020 Q4,25807
2020 Q3,25708
2020 Q2,26208
2020 Q1,25656
2019 Q4,24075
2019 Q3,23819
2019 Q2,23730
2019 Q1,23592
2018 Q4,23626
2018 Q3,23324
2018 Q2,23183
2018 Q1,23163
2017 Q4,22935
2017 Q3,22599
2017 Q2,22446
2017 Q1,22105
2016 Q4,21959
2016 Q3,21841
2016 Q2,21407
2016 Q1,21038
2015 Q4,20612
2015 Q3,20289
2015 Q2,20179
2015 Q1,20076
2014 Q4,20566
2014 Q3,20941
2014 Q2,20870
2014 Q1,20819
2013 Q4,20792
2013 Q3,20517
2013 Q2,20263
2013 Q1,20156
2012 Q4,20137
2012 Q3,19558
2012 Q2,19384
2012 Q1,19578
