Characteristic,Number of tickets sold in millions
2020,223.86
2019,1239.25
2018,1311.32
2017,1225.64
2016,1301.66
2015,1323.27
2014,1257.4
2013,1339.17
2012,1381.11
2011,1282.89
2010,1328.55
2009,1418.57
2008,1358.04
2007,1420.04
2006,1398.74
2005,1373.22
2004,1495.65
2003,1524.3
2002,1575.75
2001,1476.22
2000,1397.46
1999,1444.66
1998,1443.83
1997,1385.22
1996,1305.17
1995,1221.69
1994,1291.7
1993,1244.0
1992,1173.2
1991,1140.6
1990,1188.6
1989,1262.8
1988,1084.8
1987,1088.5
1986,1017.2
1985,1056.1
1984,1199.0
1983,1197.0
1982,1175.0
1981,1067.0
1980,1022.0
