Characteristic,Compensations in million U.S. dollars
Tim Finchem (PGA Tour commissioner & CEO) 2013,4.58
Joe Steranka (Former of America CEO) 2013,2.59
"Dick Rugge (Former USGA senior director, equipment standards) 2012",1.8
Tom Wade (PGA Tour global commercial officer) 2013,1.17
Charles Zink (PGA Tour co-chief operating officer) 2013,1.16
Ed Moorhouse (PGA Tour co-chief operating officer) 2013,1.13
"Ron Price (PGA Tour executive VP, CFO) 2013",1.06
"David Pillsbury (PGA Tour executive VP, championship managment & tournament business affairs) 2013",0.97
Mike Whan (LPGA Tour commissioner) 2012,0.89
Ty Votaw (PGA Tour executive VP & chief of global communications) 2013,0.79
Mike Davis (USGA executive director) 2012,0.77
Joseph Monahan (PGA Tour executive VP & chief marketing officer) 2013,0.73
David Fay (Former USGA executive director) 2012,0.65
"Michael Butz (USGA senior managing director, Open championships & association relations)",0.64
"Joe Louis Barrow Jr. (World Golf Foundation executive VP, The First Tee CEO) 2013",0.62
"Bill Calfee (PGA Tour president, Web.com Tour) 2013",0.55
Darrell Crall (PGA of America COO) 2013,0.54
Kerry Haigh (PGA of America chief championships officer) 2013,0.54
"Rick Anderson (PGA Tour executive VP, television and digital) 2013",0.54
James Pazder (PGA Tour executive VP & chief of operations) 2013,0.51
"Mike Stevens (PGA Tour president, Champions Tour) 2013",0.49
Stephen Mona (World Golf Foundation CEO) 2013,0.45
"Mark Russell (PGA Tour VP, rules and competitions) 2013",0.45
Stephen Hamblin (American Junior Golf Assosiation executive director) 2012,0.43
Joseph Beditz (National Golf Foundation president/CEO) 2012,0.25
