Characteristic,Chrome,Firefox,IE,Safari,Opera,Edge Legacy,Other
2020,60.69%,11.96%,2.53%,12.28%,3.51%,3.32%,5.71%
2019,59.85%,12.57%,4.59%,11.92%,3.23%,5.14%,2.7%
2018,56.51%,14.39%,6.37%,11.39%,3.67%,4.79%,2.88%
2017,51.29%,17.46%,7.93%,12.09%,3.41%,4.51%,3.31%
2016,49.71%,19.16%,10.3%,11.33%,2.95%,3.09%,3.46%
2015,44.89%,22.12%,15.12%,11.06%,2.93%,0.54%,3.34%
2014,41.77%,24.22%,17%,11.48%,2.49%,0%,3.04%
2013,37.23%,26.71%,22.74%,8.97%,2.29%,0%,2.06%
2012,30.3%,30.09%,28.08%,7.21%,3.36%,0%,0.96%
2011,20.12%,35.11%,34.82%,5.27%,4.03%,0%,0.65%
2010,10.34%,38.49%,41.86%,4.12%,4.38%,0%,0.81%
2009,3.13%,39.28%,47.17%,2.9%,6.52%,0%,1%
