Characteristic,Expenditure in million GBP
Q1 2020,434
Q4 2019,402
Q3 2019,404
Q2 2019,379
Q1 2019,376
Q4 2018,395
Q3 2018,382
Q2 2018,372
Q1 2018,365
Q4 2017,371
Q3 2017,374
Q2 2017,366
Q1 2017,375
Q4 2016,374
Q3 2016,364
Q2 2016,340
Q1 2016,305
Q4 2015,274
Q3 2015,267
Q2 2015,278
Q1 2015,290
Q4 2014,308
Q3 2014,319
Q2 2014,327
Q1 2014,331
Q4 2013,318
Q3 2013,312
Q2 2013,316
Q1 2013,314
Q4 2012,361
Q3 2012,370
Q2 2012,371
Q1 2012,367
Q4 2011,354
Q3 2011,346
Q2 2011,348
Q1 2011,349
