Hospital (Location),Revenue in billion U.S. dollars
University of Pittsburgh Medical Center Presbyterian,12.21
The Cleveland Clinic,11.63
Cedars-Sinai Medical Center (Los Angeles),10.59
Florida Hospital Orlando,10.17
Stanford (Calif.) Hospital,9.41
New York-Presbyterian Hospital/Weill Cornell Medical Center (New York City),8.91
Yale-New Haven (Conn.) Hospital,8.15
Hospital of the University of Pennsylvania (Philadelphia),7.97
"Montefiore Medical Center-Moses Division Hospital (Bronx, N.Y.)",7.68
University of California San Francisco Medical Center at Parnassus,7.67
