Metropolitan area,Crime severity index
"Winnipeg, Manitoba",131.71
"Regina, Saskatchewan",129.96
"Kelowna, British Columbia",121.38
"Saskatoon, Saskatchewan",117.34
"Edmonton, Alberta",114.89
"Moncton, New Brunswick",108.86
"Thunder Bay, Ontario",100.59
"Vancouver, British Columbia",95.39
"Calgary, Alberta",92.91
"Abbotsford-Mission, British Columbia",86.4
"Brantford, Ontario",83.35
"Greater Sudbury, Ontario",82.05
"Windsor, Ontario",80.29
"London, Ontario",75.14
"Victoria, British Columbia",74.34
"Kitchener-Cambridge-Waterloo, Ontario",73.32
"St. John's, Newfoundland and Labrador",71.26
"Kingston, Ontario",67.82
"Guelph, Ontario",64.62
"St.Catharines-Niagara, Ontario",64.33
"Halifax, Nova Scotia",60.71
"Hamilton, Ontario",60.15
"Montréal, Quebec",57.98
"Ottawa-Gatineau, Ontario part",57.01
"Ottawa-Gatineau, Ontario/Quebec",56.72
"Saint John, New Brunswick",56.1
"Ottawa-Gatineau, Quebec part",55.8
"Peterborough, Ontario",54.41
"Toronto, Ontario",54.18
"Barrie, Ontario",53.05
"Trois-Rivières, Quebec",51.8
"Saguenay, Quebec",47.72
"Sherbrooke, Quebec",47.24
"Québec, Quebec",43.77
