Characteristic,Annual salary in million GBP
Gary Lineker (Sports presenter),1.75
Zoe Ball (Radio),1.36
Graham Norton  (Multi-genre),0.73
Steve Wright (Radio),0.48
Huw Edwards (News),0.47
Fiona Bruce (Multi-genre),0.45
Vanessa Feltz (Radio),0.41
Lauren Laverne (Multi-genre),0.4
Alan Shearer (Sport),0.39
Stephen Nolan (Radio/TV presenter),0.39
Ken Bruce (Multi-genre),0.39
Emily Maitlis (News),0.37
Claudia Winkleman (Multi-genre presenter),0.37
Andrew Marr (Multi-genre),0.36
Scott Mills (Radio),0.35
George Alagiah (Newsreader),0.33
Jeremy Vine (Radio),0.32
Nicky Campbell (Radio/TV presenter),0.3
Nick Robinson (Radio),0.3
Laura Kuenssberg (Politics),0.29
Jason Mohammad (Multi-genre),0.29
