Characteristic,"Number of prisoners per 100,000 population"
United States,639
El Salvador,562
Turkmenistan,552
Palau,522
Rwanda,511
Cuba,510
Maldives,499
Virgin Islands (UK),447
Thailand,443
Bahamas,442
Panama,420
Grenada,413
Guam (U.S.),411
Virgin Islands (U.S.),394
St. Kitts and Nevis,393
Costa Rica,374
St. Vincent and the Grenadines,369
Anguilla (UK),367
Brazil,357
Belarus,345
American Samoa (U.S.),345
Uruguay,337
Turkey,335
Nicaragua,332
Russian Federation,330
Seychelles,324
Northern Mariana Islands (U.S.),313
Cayman Islands (UK),312
Belize,307
Antigua and Barbuda,302
