Characteristic,Percentage of repondents
Defined a specific policy regarding the classification and handling of sensitive information,72%
Employee awareness programs,68%
Implemented additional security mechanisms for protecting information (e.g. encryption),57%
"Locked down or restricted use of certain hardware (e.g. USBs, Firewall ports)",43%
Used internal auditing for testing of controls,41%
Defined specific requirements for telecommuting/telework regarding the protection of information that is taken outside the office,39%
"Implemented data loss prevention tools (e.g. McAfee, Symantec)",38%
Implemented log review tools,38%
Restricted use of instant messaging or email for sensitive sata transmission,31%
Prohibited use of camera devices within sensitive or restricted areas,23%
Restricted access to sensitive information to specific time periods,16%
