Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",18.04
Government and government enterprises,16.19
"Arts, entertainment, recreation, accommodation, and food services",5.36
Professional and business services,6.9
"Educational services, health care, and social assistance",6.44
Retail trade,5.71
Transportation and warehousing,5.71
Construction,4.05
Wholesale trade,2.27
Information,2.09
Manufacturing,1.55
Utilities,1.74
"Agriculture, forestry, fishing, and hunting",0.61
"Mining, quarrying, and oil and gas extraction",0.08
