Occupation,Women's earnings,Men's earnings
Total,821,1007
Health care and social assistance,817,1123
Retail trade,632,767
Educational services,980,1170
Durable goods manufacturing,793,1026
Professional and technical services,1159,1664
Construction,862,914
Public administration,969,1217
Finance and insurance,944,1538
Accommodation and food services,521,617
Transportation and warehousing,738,916
Nondurable goods manufacturing,733,976
"Management, administrative, and waste services",653,734
"Other services, except private households",701,897
Wholesale trade,827,1021
Information,1007,1275
Real estate and rental and leasing,871,1028
"Arts, entertainment, and recreation",704,796
Utilities,1116,1292
Agriculture and related industries,563,631
"Mining, quarrying, and oil and gas extraction",1162,1447
