Characteristic,Arms sales,Total sales
Lockheed Martin Corp. (US),53230,59812
Boeing (US),33580,76559
Northrop Grumman Corp. (US),29220,33841
Raytheon (US),25320,29176
General Dynamics Corp. (US),24500,39350
Aviation Industry Corp. of China (AVIC)*,22470,66846
BAE Systems (UK),22240,23378
China Electronics Technology Group Corp. (CETC),15090,32951
China North Industries Group Corp. (NORINCO),14540,65929
L3HarrisTechnologies (US),13920,18074
United Technologies Corp. (US),13100,77046
Leonardo (Italy),11110,15432
Airbus (Trans-European),11050,78905
Thales (France),9470,20601
Almaz-Antey (Russia),9420,9657
