Characteristic,Attendance in millions
"Typhoon Lagoon, Orlando",2.25
"Blizzard Beach, Orlando",1.98
Universal's Volcano Bay,1.81
"Aquatica, Orlando",1.53
"Schlitterbahn, New Braunfels",1.0
"Water Country USA, Williamsburg",0.74
"Adventure Island, Tampa",0.66
"Aquatica, San Antonio",0.65
"Schlitterbahn, Galveston",0.57
"Six Flags Hurricane Harbor, Arlington",0.54
"Splish-Splash, Calverton",0.54
"Six Flags White Water, Marietta",0.53
"Six Flags Hurricane Harbor Splashtown, Spring",0.48
"Six Flags Hurricane Harbor, Jackson",0.48
"Typhoon, Texas",0.48
"Zoombezi Bay, Powell",0.47
"Camelbeach, Tannersville",0.44
"Six Flags Hurricane Harbor Phoenix, Glendale",0.44
"Dollywood's Splash Country, Pigeon Ford",0.43
"Cedar Point Shores, Sandusky",0.42
