Characteristic,Number of people with income below the poverty line
"New York city, New York",1312028
"Los Angeles city, California",651205
"Houston city, Texas",449733
"Chicago city, Illinois",432385
"Philadelphia city, Pennsylvania",359011
"Phoenix city, Arizona",258625
"San Antonio city, Texas",255532
"Dallas city, Texas",232209
"Detroit city, Michigan",201766
"San Diego city, California",153361
"Columbus city, Ohio",143363
"Indianapolis city (balance), Indiana",134443
"Jacksonville city, Florida",125468
"El Paso city, Texas",125140
"Austin city, Texas",116046
"Boston city, Massachusetts",111442
"Fort Worth city, Texas",106449
"Oklahoma City city, Oklahoma",101536
"Charlotte city, North Carolina",97566
"Washington city, District of Columbia",90534
"Denver city, Colorado",83601
"San Francisco city, California",82356
"Nashville-Davidson metropolitan government (balance), Tennessee",81325
"San Jose city, California",71931
"Seattle city, Washington",71810
