Characteristic,Visitors in thousands
tesco.com,3498
asda.com,2067
bbcgoodfood.com,1901
johnlewis.com,1576
ok.co.uk,542
jamieoliver.com,456
waitrose.com,441
Cosmopolitan UK,298
vogue.co.uk,260
goodhousekeeping.co.uk,239
slimmingworld.co.uk,227
hellomagazine.com,223
deliciousmagazine.co.uk,191
glamourmagazine.co.uk,158
idealhome.co.uk,153
vanityfair.com,136
marieclaire.co.uk,124
elleuk.com,103
celebsnow.co.uk,80
womanandhome.com,78
redonline.co.uk,77
youandyourwedding.co.uk,62
whatsontv.co.uk,59
takeabreak.co.uk,39
weightwatchers.co.uk,38
