Characteristic,Office,Imaging System,Medical system,Industry and Others
2020,1440.21,712.24,436.07,654.81
2019,1702.6,807.41,438.53,737.95
2018,1807.3,1008.17,437.58,805.21
2017,1865.93,1136.19,436.19,731.7
2016,1807.82,1095.29,-,584.66
2015,2110.82,1263.84,-,524.65
2014,2078.73,1343.19,-,398.77
2013,2000.07,1448.94,-,374.87
2012,1757.58,1405.97,-,407.84
2011,1917.94,1312.04,-,420.86
2010,1987.27,1391.33,-,432.96
2009,1645.08,1301.16,-,357.99
2008,2246.61,1456.08,-,522.41
2007,2477.52,1587.95,-,549.98
2006,2250.23,1440.46,-,584.49
