Characteristic,Number of subscribers
SQUEEZIE,13.8
CyprienGaming,6.48
Amixem,5.92
SUP3R KONAR !,4.32
HugoPOSAY,4.28
Le Bled'Art,4.25
GOTAGA,3.51
joueurdugrenier,3.35
VodKprod,3.2
TheKAIRI78,3.16
LaSalle,3.06
GameMixTreize,3.05
LEGRANDJD,2.79
Furious Jumper,2.74
Skyrroz,2.25
Siphano,2.23
Le Show Jaune,2.1
GotagaTV,2.04
MrLEV12,1.97
FantaBobGames,1.96
Frigiel,1.94
Wankil Studio - Laink et Terracid,1.86
Trash,1.75
Aiekillu,1.72
DavidLafargePokemon,1.69
Diabl0x9,1.69
Djadja & Dinaz,1.64
bySankah Officiel,1.63
CBGames,1.63
Bazar du Grenier,1.58
