Characteristic,Gross domestic product in billion U.S. dollars
2026*,27659.15
2025*,26719.63
2024*,25790.12
2023*,24892.61
2022*,24003.7
2021*,22675.27
2020,20932.75
2019,21433.23
2018,20611.88
2017,19542.98
2016,18745.1
2015,18238.3
2014,17527.28
2013,16784.83
2012,16197.05
2011,15542.6
2010,14992.05
2009,14448.93
2008,14712.83
2007,14451.88
2006,13814.6
2005,13036.63
2004,12213.73
2003,11458.25
2002,10936.45
2001,10581.83
2000,10252.35
1999,9630.7
1998,9062.83
1997,8577.55
1996,8073.13
1995,7639.75
1994,7287.25
1993,6858.55
1992,6520.33
1991,6158.13
1990,5963.13
1989,5641.6
1988,5236.43
1987,4855.25
1986,4579.63
