Characteristic,Revenue in million U.S. dollars
"Turner Corp. (New York, New York)",5529.3
"Clark Group (Bethesda, Maryland)",4013.6
"AECOM(Los Angeles, California)",3818.57
"Swinerton (San Francisco, California)",2906.15
"Hensel Phelps (Greeley, Colorado)",2251.75
"Skanska USA (New York, New York)",2162.73
"Lendlease (New York, New York)",2060.8
"Holder Construction (Atlanta, Georgia)",1827.0
"Webcor(San Francisco, California)",1771.2
"The Walsh Group (Chicago, Illinois)",1605.5
"Gilbane Building (Providence, Rhode Island)",1598.43
"Structure Tone (New York, New York)",1565.37
"The Whiting-Turner Contracting Co (Baltimore, Maryland",1522.55
"Clayco (Chicago, Illinois)",1475.9
"Level 10 Construction (Sunnyvale, California)",1167.0
