State,Miles of freight railroad
Texas,12092
Illinois,7877
California,5241
Minnesota,4366
Missouri,4131
Ohio,4051
Kansas,3810
Pennsylvania,3623
Georgia,3333
Iowa,3318
Indiana,3265
Wisconsin,3231
Virginia,3046
Colorado,2844
Montana,2750
Louisiana,2616
Alabama,2616
Oklahoma,2611
New York,2599
Nebraska,2552
Arkansas,2518
North Carolina,2314
Kentucky,2313
North Dakota,2227
Tennessee,2133
West Virginia,2119
South Carolina,2069
New Mexico,2048
Michigan,2048
Washington,1996
Nevada,1991
Wyoming,1840
Florida,1800
Mississippi,1777
Utah,1695
New Jersey,1573
Oregon,1481
Arizona,1350
South Dakota,1019
Idaho,953
Maryland,816
Massachusetts,399
Delaware,247
Connecticut,68
District of Columbia,33
