Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",109.49
Professional and business services,97.73
Government and government enterprises,53.28
"Educational services, health care, and social assistance",50.12
Manufacturing,49.88
Wholesale trade,44.74
Retail trade,34.12
Information,32.28
Transportation and warehousing,17.76
Construction,17.47
"Arts, entertainment, recreation, accommodation, and food services",12.0
Utilities,8.84
"Agriculture, forestry, fishing, and hunting",1.37
"Mining, quarrying, and oil and gas extraction",0.4
