Characteristic,Less likely,Neither more nor less likely,Don't know/no opinion,More likely
Go to a concert,63%,23%,10%,6%
Use public transport,63%,21%,11%,5%
Go to a movie theater,62%,24%,9%,6%
Go to an amusement park,62%,23%,10%,6%
Go to a theater performance,62%,24%,10%,5%
Go to sporting events,61%,24%,11%,5%
Go to a museum,61%,24%,11%,5%
Go to a shopping mall,60%,24%,8%,7%
Go to a party or social event,59%,26%,9%,5%
Go to the gym,59%,25%,11%,5%
Go to a political rally,58%,26%,12%,5%
Use a ride-hailing service,57%,25%,12%,6%
Go out to eat in a restaurant or cafe,56%,28%,7%,9%
Take a vacation,51%,30%,9%,11%
Go to a work conference,51%,29%,16%,4%
Go to a religious gathering or meeting,50%,31%,11%,8%
Go to the grocery store,40%,40%,7%,12%
Invest in the stock market,37%,39%,18%,7%
Vote in a political election,33%,41%,11%,15%
