Characteristic,Total,18-24,25-44,45-64,65+
2016,55.9%,40.2%,52.2%,62.1%,66.6%
2012,62%,45.9%,58.9%,68.9%,73%
2008,60.8%,52.3%,58.7%,65.5%,66%
2004,56.3%,44%,54%,62.6%,64.1%
2000,53.5%,33.9%,52.1%,62.9%,64.7%
1996,50.6%,32.4%,47.8%,61.7%,63.7%
1992,54.1%,36.6%,52.1%,64.9%,64.1%
1988,51.5%,35%,48%,64.8%,63.5%
1984,55.8%,40.6%,56.2%,66.2%,61.5%
1980,50.5%,30.1%,51.9%,61.2%,59.4%
1976,48.7%,27.9%,49.6%,62.3%,54.3%
1972,52.1%,34.7%,55.6%,61.9%,50.6%
1968,57.6%,38.9%,60.3%,64.5%,49.9%
1964,58.5%,44.2%,61.5%,64.1%,45.3%
