Characteristic,Copies sold
Sorrisi e canzoni TV,402638
Settimanale Dipiu',342126
Telesette,299560
Venerdi' di Repubblica,228604
Io Donna,224887
Famiglia cristiana,201262
Gente,198607
Espresso,197381
D La Repubblica delle Donne,187529
Dipiu' TV,178015
Oggi,167374
Settimanale Nuovo,152630
Intimita',124164
Guida TV nuova,115300
Diva e Donna,113883
Elle,105531
Donna Moderna,97448
Chi,96503
Grazia,89010
F,88634
Telepiu',88600
Grand Hotel,82494
Sport Week,80285
TV Mia,74220
Vanity Fair,70942
Nuovo TV,69440
Settimanale Dipiu' e Dipiu' TV cucina,65090
Panorama,54519
Giallo,53855
Dolomiten Magazin,50083
Milano Finanza,38958
Confidenze,38401
Tu style,36582
Viversani e Belli,34945
Ci piace cucinare!,28007
Autosprint,10433
FF- Sudtiroler Magazin,8480
Motosprint,7891
