Characteristic,GVA in million GBP
Real estate activities,262786
Health and social work,194622
"Wholesale, retail, repair of vehicles",189877
Manufacturing,173883
"Prof, scientific, technical activ.",150864
Information and communication,131521
Financial and insurance activities,124964
Education,122768
Construction,112382
Public admin and defence,107083
Admin and support services,84803
Transport and storage,68288
Accommodation and food services,27083
"Electricity, gas, air cond supply",27048
"Water supply, sewerage, waste",24490
Other service activities,24101
"Arts, entertainment and recreation",21188
Mining and quarrying,13397
"Agriculture, forestry and fishing",11752
Households as employers,4570
