Characteristic,Crude birth rate
2020,12.9
2015,13.4
2010,13.8
2005,12.8
2000,13.5
1995,14.8
1990,15.1
1985,15.6
1980,15.8
1975,19.1
1970,19.9
1965,21.4
1960,22.7
1955,23.0
1950,23.3
1945,20.24
1940,17.5
1935,16.96
1930,21.0
1925,23.9
1920,25.38
1915,27.78
1910,26.68
1905,26.36
1900,27.68
1895,32.44
1890,35.24
1885,35.18
1880,35.48
1875,37.04
1870,39.62
1865,42.46
1860,41.76
1855,37.2
1850,35.99
1845,36.97
1840,38.31
1835,39.65
1830,40.99
1825,42.04
1820,42.68
1815,43.31
1810,43.95
1805,44.58
1800,44.96
