Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,36.08
Government and government enterprises,32.11
"Finance, insurance, real estate, rental, and leasing",29.82
Professional and business services,21.39
"Educational services, health care, and social assistance",15.67
Retail trade,14.16
Wholesale trade,11.26
Construction,6.45
"Arts, entertainment, recreation, accommodation, and food services",4.32
Transportation and warehousing,4.69
Utilities,5.47
Information,5.11
"Mining, quarrying, and oil and gas extraction",2.63
"Agriculture, forestry, fishing, and hunting",2.73
