Characteristic,Inflation rate compared to previous year
2026*,7.35%
2025*,7.48%
2024*,7.49%
2023*,7.45%
2022*,7.2%
2021*,4.79%
2020,5.7%
2019,13.88%
2018,20.85%
2017,23.53%
2016,10.21%
2015,10.99%
2014,10.1%
2013,6.91%
2012,8.65%
2011,11.09%
2010,11.69%
2009,16.24%
2008,11.7%
2007,10.96%
2006,4.2%
2005,8.83%
2004,8.11%
2003,3.21%
2002,2.43%
2001,2.43%
2000,2.85%
1999,3.75%
1998,5.04%
1997,6.17%
1996,7.1%
1995,9.36%
1994,9.05%
1993,11.04%
1992,21.14%
1991,14.74%
1990,21.22%
1989,20.13%
1988,15.19%
1987,25.19%
1986,23.9%
