Characteristic,Consumer Price Index (100=1982-1984)
"San Diego-Carlsbad, CA",303.93
"San Francisco-Oakland-Hayward, CA",300.08
Urban Hawaii,286.01
"Boston-Cambridge-Newton, MA-NH",284.27
"New York-Newark-Jersey City, NY-NJ-PA",282.92
"Seattle-Tacoma-Bellevue, WA",282.69
"Los Angeles-Long Beach-Anaheim, CA",278.57
"Miami-Fort Lauderdale-West Palm Beach, FL",272.1
"Denver-Aurora-Lakewood, CO",272.21
"Washington-Arlington-Alexandria, DC-VA-MD-WV",267.16
"Baltimore-Columbia-Towson, MD",259.48
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",258.92
U.S. City Average,261.77
"Minneapolis-St.Paul-Bloomington, MN-WI",253.0
"Atlanta-Sandy Springs-Roswell, GA",246.65
"Chicago-Naperville-Elgin, IL-IN-WI",253.87
"Dallas-Fort Worth-Arlington, TX",239.08
"Detroit-Warren-Dearborn, MI",237.66
"St. Louis, MO-IL",232.91
"Houston-The Woodlands-Sugar Land, TX",229.16
Urban Alaska,226.15
"Tampa-St. Petersburg-Clearwater, FL",233.84
"Phoenix-Mesa-Scottsdale, AZ*",145.72
