Characteristic,Number of followers in millions
Golden State Warriors,13.2
Los Angeles Lakers,9.96
Cleveland Cavaliers,7.45
Chicago Bulls,4.78
Boston Celtics,4.58
Oklahoma City Thunder,4.39
Houston Rockets,4.34
Miami Heat,3.71
Toronto Raptors,2.99
San Antonio Spurs,2.87
LA Clippers,2.67
Milwaukee Bucks,2.34
New York Knicks,2.31
Philadelphia 76ers,2.24
Brooklyn Nets,1.83
Minnesota Timberwolves,1.7
New Orleans Pelicans,1.7
Indiana Pacers,1.68
Portland Trail Blazers,1.65
Dallas Mavericks,1.41
Washington Wizards,1.4
Sacramento Kings,1.32
Phoenix Suns,1.27
Atlanta Hawks,1.18
Charlotte Hornets,1.14
Denver Nuggets,1.08
Detroit Pistons,1.04
Orlando Magic,1.03
Utah Jazz,0.91
Memphis Grizzlies,0.9
