Characteristic,Turnover in billion NOK
DNB ASA,28.78
Telenor ASA,23.62
SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) OSLOFILIALEN,22.68
Statkraft AS,20.65
Exxonmobil Exploration And Production Norway AS,19.19
Equinor ASA,18.87
Total E&P Norge AS,17.41
Norske Shell A/S,17.0
ConocoPhillips Skandinavia AS,13.64
Statkraft Energi AS,12.38
Lundin Norway AS,10.12
Equinor Dezassete AS,8.4
Vår Energi AS,8.12
Neptune Energy Norge AS,7.0
Omv (Norge) AS,6.49
Norsk Hydro ASA,6.46
Telenor Norge AS,6.32
Norsk Tipping AS,5.52
Austevoll Seafood ASA,5.19
Gjensidige Forsikring ASA,4.6
