Retailer (country),Number of stores
Kingfisher (Great Britain),1202
ADEO (France),979
Groupe Mr. Bricolage (France),866
Bricomarché (France),638
OBI (Germany),581
Zeus (Germany),527
Intergamma (Netherlands),386
Maxeda (Netherlands),376
Eurobaustoff (Germany),373
Cofaq Group (France),358
Rewe (Germany),348
EMV-Profi (Germany),347
Kesko/Rautakesko (Finland),299
Home Retail (Great Britain),296
DT Group (Denmark),267
Bauhaus (Germany),255
Hornbach (Germany),146
Hellweg Baywa/Hellweg (Germany),145
Baumax (Austria),122
Globus/Hela (Germany),101
