Characteristic,Sales in billion Canadian dollars
Dec '20,4.25
Nov '20,4.42
Oct '20,4.91
Sep '20,5.25
Aug '20,5.54
Jul '20,4.42
Jun '20,4.1
May '20,3.45
Apr '20,2.44
Mar '20,4.0
Feb '20,5.68
Jan '20,5.7
Dec '19,6.4
Nov '19,6.18
Oct '19,6.35
Sep '19,6.35
Aug '19,6.86
Jul '19,6.72
Jun '19,6.58
May '19,6.48
Apr '19,5.94
Mar '19,6.02
Feb '19,5.19
Jan '19,5.4
Dec '18,6.28
Nov '18,5.92
Oct '18,6.13
Sep '18,6.28
Aug '18,6.67
Jul '18,6.54
Jun '18,6.41
May '18,6.2
Apr '18,5.66
Mar '18,5.78
Feb '18,5.03
Jan '18,5.13
Dec '17,5.98
Nov '17,5.6
Oct '17,5.91
Sep '17,5.98
Aug '17,6.26
Jul '17,6.23
Jun '17,6.0
May '17,5.85
April '17,5.52
March '17,5.43
February '17,4.81
January '17,4.94
