Characteristic,Viewership in millions
Super Bowl XLIV (American football) *,121
UEFA Champions league final (football),109
Bahrain Grand Prix (Formula 1),54
100-meter final Eder men (athletics),33
Men's final wimbledon (tennis),29
Japan-South Korea baseball finals (baseball),27
NBA Finals LA Lakers-Orlando Magic (Basketball),26
Final day U.S. Masters (Golf),21
Sudirman finals South Korea-China (badminton),19
Motor GP World Cup (motorcycle racing),19
Tour de France 20 Leg (cycling),18
Canada-Russia World Cup finals (hockey),17
World Cup final France-Croatia (handball),17
NASCAR Daytona 500 (Motor Sports),16
World Cup Final Pakistan-Sri Lanka (Cricket),13
