Characteristic,Average test score
California Institute of Technology,1545
Massachusetts Institute of Technology,1535
Harvey Mudd College,1530
Washington University in St. Louis,1520
Harvard University,1520
University of Chicago,1520
Johns Hopkins University,1515
Yale University,1515
Carnegie Mellon University,1510
Duke University,1510
Columbia University,1510
Vanderbilt University,1505
Rice University,1505
Stanford University,1505
Princeton University,1505
Franklin W. Olin College of Engineering,1501
University of Pennsylvania,1500
Dartmouth College,1500
Northwestern University,1495
Brown University,1485
Amherst College,1480
Webb Institute,1480
Cornell University,1480
Williams College,1479
University of Notre Dame,1475
