Characteristic,Male,Female
Bulgaria,54,38
Denmark,38,20
Germany,421,367
Estonia,23,5
Ireland,32,10
Greece,70,29
Spain,173,117
France,520,244
Croatia,16,8
Italy,212,133
Cyprus,9,6
Latvia,41,43
Lithuania,74,54
Hungary,43,43
Malta,3,4
Netherlands,64,36
Austria,42,44
Poland,190,83
Romania,168,82
Slovenia,5,5
Slovakia,36,26
Finland,63,27
Sweden,75,33
Iceland,2,1
Norway,16,9
Switzerland,22,28
England and Wales,429,241
Montenegro,12,2
Albania,53,15
Serbia,80,28
Turkey,1744,387
Kosovo,35,9
Bosnia,35,9
