Characteristic,Gross domestic product in billion U.S. dollars
2026*,22.1
2025*,20.87
2024*,19.95
2023*,19.28
2022*,18.77
2021*,18.36
2020*,15.64
2019,16.88
2018,16.88
2017,14.92
2016,14.02
2015,14.39
2014,18.21
2013,17.6
2012,17.18
2011,18.21
2010,14.38
2009,12.19
2008,15.57
2007,12.46
2006,10.16
2005,9.47
2004,7.76
2003,6.51
2002,5.33
2001,5.02
2000,5.4
1999,4.97
1998,4.77
1997,5.67
1996,6.06
1995,5.28
1994,4.46
1993,5.76
1992,5.96
1991,5.75
1990,6.34
1989,4.46
1988,4.08
1987,3.7
1986,4.89
