Characteristic,Share of male web traffic
newarena.com,98%
covers.com,97.7%
90min.com,97%
serverfault.com,96.7%
scoresandodds.com,96.6%
rotoworld.com,96.6%
golfwrx.com,96.4%
finviz.com,95.9%
bringatrailer.com,95.8%
hearthstonetopdecks.com,95.7%
stocktwits.com,95.2%
mmafighting.com,95%
kitco.com,94.5%
stockcharts.com,94.4%
basketball-reference.com,94.3%
dilbert.com,94.3%
stockhouse.com,94.2%
barchart.com,94.2%
teamliquid.net,94.1%
bleedinggreennation.com,94%
baseball-reference.com,93.9%
elevenwarriors.com,93.7%
comicbookmovie.com,93.6%
cagesideseats.com,93.5%
gamebanana.com,93.5%
