Characteristic,Market value in million euros
Calvin Stengs,12.0
Oussama Idrissi,10.0
Teun Koopmeiners,7.5
Myron Boadu,7.5
Marco Bizot,4.5
Jonas Svensson,4.5
Fredrik Midtsjö,4.0
Jordy Clasie,3.0
Thomas Ouwejan,3.0
Owen Wijndal,3.0
Albert Gudmundsson,2.5
Dani de Wit,2.0
Stijn Wuytens,1.5
Zakaria Aboukhlal,1.5
Ferdy Druijf,1.25
Yukinari Sugawara,1.0
Pantelis Chatzidiakos,0.8
Ron Vlaar,0.75
Rody de Boer,0.75
Jasper Schendelaar,0.75
Tijjani Reijnders,0.7
Kenzo Goudmijn,0.6
Fred Friday,0.35
Leon Bergsma,0.3
Joris Kramer,0.3
