Characteristic,Purchase price in million U.S. dollars
Brooklyn Nets  (2019),3200
Houston Rockets  (2017),2200
Los Angeles Clippers  (2014),2000
Utah Jazz  (2020),1700
Atlanta Hawks  (2015),730
Washington Wizards (2010),551
Milwaukee Bucks  (2014),550
Sacramento Kings (2013),534
Golden State Warriors  (2010),450
Phoenix Suns  (2004),404
Toronto Raptors  (2012),400
Memphis Grizzlies  (2012),377
Cleveland Cavaliers  (2005),375
Boston Celtics (2002),360
New Orleans Pelicans (2012),338
Detroit Pistons  (2011),325
Oklahoma City Thunder  (2006),325
New York Knicks (1997),300
Philadelphia 76ers  (2011),287
Dallas Mavericks  (2000),280
Los Angeles Lakers  (1998),268
Denver Nuggets  (2000),202
Charlotte Hornets  (2010),175
Minnesota Timberwolves  (1995),89
Orlando Magic  (1991),85
San Antonio Spurs (1996),76
Portland Trail Blazers  (1988),70
Miami Heat  (1988),33
Chicago Bulls  (1985),16
Indiana Pacers  (1983),11
