Characteristic,Ringtones & ringbacks*,Subscription and streaming**,Album downloads,Single downloads,Other digital***
2020,20.2,10074.5,319.5,312.8,21.9
2019,20.6,8882,368.8,408.4,25
2018,24.9,7336.8,499.7,490.4,24.1
2017,35.5,5664.5,668.5,678.5,21.9
2016,51.1,3962.1,818.8,872.9,24.2
2015,54.6,2406.6,1090.7,1195.1,10.1
2014,66.3,1868.3,1150.9,1407.8,-
2013,98.0,1449.6,1232.1,1567.6,-
2012,166.9,1032.8,1204.8,1623.6,-
2011,276.2,651.2,1070.8,1522.4,-
2010,448.0,-,872.4,1317.4,-
2009,728.8,-,763.4,1220.3,-
2008,977.1,-,635.3,1032.2,-
