Characteristic,First-time buyer,Buy-to-let,Other
Q4 '20,24.32%,11.15%,39.6%
Q3 '20,22.87%,12.53%,32.94%
Q2 '20,18.12%,14.4%,23.4%
Q1 '20,19.83%,13.96%,27%
Q4 '19,21.44%,12.37%,30.67%
Q3 '19,21.91%,12.29%,31.33%
Q2 '19,21.27%,13.19%,29.2%
Q1 '19,19.2%,13.98%,26.89%
Q4 '18,21.26%,12.51%,29.73%
Q3 '18,20.97%,12.07%,30.96%
Q2 '18,21.37%,13.17%,28.63%
Q1 '18,19.56%,14.35%,27.34%
Q4 '17,21.2%,12.92%,30.94%
Q3 '17,21.07%,13.02%,32.37%
Q2 '17,22.04%,13.06%,31.55%
Q1 '17,19.22%,14.71%,27.87%
Q4 '16,22.06%,14.35%,30.08%
Q3 '16,22.03%,13.79%,30.73%
Q2 '16,22%,13.9%,27.84%
Q1 '16,16.91%,21.44%,30.79%
Q4 '15,20.87%,16.25%,32.34%
Q3 '15,20.39%,16.07%,33.93%
Q2 '15,20.38%,16.25%,31.12%
Q1 '15,18.92%,17.02%,30.11%
