Characteristic,Payroll in thousand U.S. dollars
Albert Rusnak,2001.67
Everton Luiz,1100.0
Damir Kreilach,1082.1
Joao Plata,856.25
Marcelo Silva,776.63
Sam Johnson,767.5
Nedum Onuoha,504.0
Jefferson Savarino,498.7
Justen Glad,366.7
Kelyn  Rowe,326.4
Kyle Beckerman,325.0
Nick Rimando,322.5
Brooks Lennon,242.59
Jordan Allen,238.0
Pablo Ruiz,221.0
Tony Beltran,207.0
Luke Mulholland,155.0
Donny Toia,131.25
Sebastian Saucedo,123.0
Alex Horwath,100.86
Aaron Herrera,86.0
Nick Besler,85.0
Andrew Putna,70.88
Erik Holt,70.25
David Ochoa,70.25
Justin Portillo,70.25
Tate Schmitt,70.25
Corey Baird,70.01
Julian Vazquez,66.25
Luis Arriaga,56.25
Doug Martinez,56.25
