Characteristic,Revenue in million U.S. dollars
Nevada,7873.31
New Jersey,2881.38
Pennsylvania,2695.91
Mississippi,1795.2
Indiana,1709.48
Louisiana,1658.51
Ohio,1440.28
Missouri,1263.75
Maryland,1225.92
New York,1184.73
Iowa,1167.7
Illinois,743.41
Michigan,638.66
Colorado,636.08
Massachusetts,551.94
West Virginia,435.52
Arkansas,355.52
Florida,341.33
Delaware,340.35
Rhode Island,326.22
Kansas,299.53
South Dakota,105.27
Oklahoma,101.74
Maine,71.37
New Mexico,51.84
Tennessee,27.12
New Hampshire,23.64
Oregon,20.07
D.C.,13.55
Montana,2.36
Total,29981.68
