Characteristic,Revenue in million U.S. dollars
Q1 '21,26171
Q4 '20,28072
Q3 '20,21470
Q2 '20,18687
Q1 '20,17737
Q4 '19,21082
Q3 '19,17652
Q2 '19,16886
Q1 '19,15077
Q4 '18,16914
Q3 '18,13727
Q2 '18,13231
Q1 '18,11966
Q4 '17,12972
Q3 '17,10328
Q2 '17,9321
Q1 '17,8032
Q4 '16,8809
Q3 '16,7011
Q2 '16,6436
Q1 '16,5382
Q4 '15,5841
Q3 '15,4501
Q2 '15,4042
Q1 '15,3543
Q4 '14,3851
Q3 '14,3203
Q2 '14,2910
Q1 '14,2502
Q4 '13,2585
Q3 '13,2016
Q2 '13,1813
Q1 '13,1458
Q4 '12,1585
Q3 '12,1262
Q2 '12,1184
Q1 '12,1058
Q4 '11,1131
