Characteristic,Revenue in million U.S. dollars
Feb '21,46.21
Jan '21,82.64
Dec '20,66.39
Nov '20,50.55
Oct '20,58.51
Sept '20,45.08
Aug '20,39.51
Jul '20,29.55
Jun '20,12.64
May '20,9.91
Apr '20,2.63
Mar '20,13.18
Feb '20,17.0
Jan '20,53.56
Dec '19,29.42
Nov '19,33.0
Oct '19,46.39
Sep '19,37.88
Aug '19,25.21
Jul '19,17.88
Jun '19,9.7
May '19,15.54
Apr '19,21.22
Mar '19,31.67
Feb '19,12.73
Jan '19,18.8
Dec '18,20.8
Nov '18,21.2
Oct '18,11.7
Sep '18,23.9
Aug '18,9.2
Jul '18,3.8
Jun '18,3.5
