Characteristic,Gross domestic product in billion U.S. dollars
2026*,3.17
2025*,2.92
2024*,2.69
2023*,2.47
2022*,2.26
2021*,2.08
2020*,1.91
2019*,1.82
2018,1.66
2017,1.5
2016,1.47
2015,1.36
2014,1.23
2013,1.38
2012,1.42
2011,1.41
2010,1.54
2009,1.45
2008,1.56
2007,1.28
2006,1.05
2005,1.03
2004,0.96
2003,0.84
2002,0.89
2001,1.0
2000,1.01
1999,1.04
1998,1.01
1997,0.98
1996,0.95
1995,0.91
1994,0.87
1993,0.88
1992,0.82
1991,0.76
1990,0.72
1989,0.61
1988,0.59
1987,0.5
1986,0.38
