Characteristic,Volume of trade goods in billion U.S. dollars
Transportation Equipment,415.63
Computers & Electronic Products,390.97
Chemicals,262.78
"Machinery, Except Electrical",188.72
Miscellaneous Manufactured Commodities,130.02
Oil & Gas,123.96
"Electrical Equipment, Appliances & Components",123.03
Goods Returned Or Reimported,92.37
Apparel & Accessories,89.67
Primary Metal Products,86.09
Fabricated Metal Products,76.15
Petroleum & Coal Products,73.44
Food & Kindred Products,68.56
Plastic & Rubber Products,59.32
Furniture & Fixtures,42.54
Leather & Allied Products,39.47
Agricultural Products,38.54
Beverages & Tobacco,26.44
Nonmetallic Mineral Products,24.09
Textile Mill Products,23.51
"Special Classification Provision, Nspf",22.94
Paper Products,21.24
Wood Products,18.37
"Fish, Fresh Or Chilled; & Other Marine Products",16.05
Used Or Second-H& Merch&ise,13.1
Textile & Fabrics,8.21
Livestock & Livestock Products,6.61
Scrap & Waste,6.55
Minerals & Ores,6.1
"Printing, Publishing & Similar Products",5.9
"Forestry Products, Nspf",2.62
