Characteristic,Percentage of employees
Finland,25.1%
Luxembourg,23.1%
Ireland,21.5%
Austria,18.1%
Netherlands,17.8%
Belgium,17.2%
Denmark,17%
France,15.7%
Germany**,14.8%
Malta,14.8%
Portugal,13.9%
Estonia,12.6%
EU27,12.3%
Italy,12.2%
Spain,10.9%
Poland,8.9%
Iceland,8.7%
Slovenia,7.4%
Sweden,7.3%
Serbia,7.2%
Czechia,7.2%
Greece,7%
Montenegro *,5.8%
Slovakia,5.7%
Lithuania,5.4%
Switzerland,4.9%
United Kingdom *,4.7%
Norway,4.7%
Latvia,4.5%
Cyprus,4.5%
Hungary,3.6%
Croatia,3.1%
Turkey,3%
North Macedonia,2.9%
Romania,2.5%
Bulgaria,1.2%
