Characteristic,Gross domestic product in billion U.S. dollars
2026*,87.74
2025*,85.21
2024*,83.28
2023*,81.26
2022*,79.28
2021*,74.12
2020*,63.19
2019,76.33
2018,79.79
2017,70.6
2016,65.48
2015,68.92
2014,81.08
2013,78.78
2012,76.62
2011,68.02
2010,57.05
2009,48.39
2008,60.91
2007,42.09
2006,37.22
2005,31.08
2004,24.76
2003,21.63
2002,20.14
2001,19.45
2000,19.51
1999,15.59
1998,14.0
1997,15.84
1996,15.28
1995,13.8
1994,12.92
1993,12.49
1992,12.45
1991,11.34
1990,11.69
1989,9.37
1988,8.39
1987,8.63
1986,8.23
