Characteristic,Average points
Dustin Johnson (USA),9.96
Jon Rahm (ESP),9.87
Justin Thomas (USA),8.34
Rory McIlroy (NIR),7.86
Collin Morikawa (USA),7.53
Webb Simpson (USA),7.03
Brooks Koepka (USA),6.14
Bryson DeChambeau (USA),6.02
Patrick Reed (USA),5.76
Adam Scott (AUS),5.42
Xander Schauffele (USA),5.39
Patrick Cantley (USA),5.22
Daniel Berger (USA),4.93
Tony Finau (USA),4.66
Tyrrell Hatton (ENG),4.63
Tommy Fleetwood (ENG),4.61
Matthew Fitzpatrick (ENG),4.36
Tiger Woods (USA),4.28
Justin Rose (ENG),4.23
Hideki Matsuyama (JPN),4.2
