Characteristic,Market capitalization in million euros
Sep 2020,1124.39
Aug 2020,1230.82
Jul 2020,1184.1
Jun 2020,1218.02
May 2020,1272.38
Apr 2020,1217.34
Mar 2020,1047.72
Feb 2020,1303.21
Jan 2020,1534.88
Dec 2019,1257.46
Nov 2019,1394.7
Oct 2019,1424.93
Sep 2019,1335.58
Aug 2019,1495.59
Jul 2019,1536.17
Jun 2019,1474.61
May 2019,1507.34
Apr 2019,1266.09
Mar 2019,1513.12
Feb 2019,1234.4
Jan 2019,1413.91
Dec 2018,1091.1
Nov 2018,1096.74
Oct 2018,948.16
Sep 2018,1470.28
Aug 2018,1223.65
Jul 2018,883.03
Jun 2018,667.36
May 2018,604.08
Apr 2018,641.89
Mar 2018,648.55
Feb 2018,723.24
Jan 2018,834.37
Dec 2017,770.9
Nov 2017,707.77
Oct 2017,745.52
Sep 2017,802.42
Aug 2017,760.24
Jul 2017,593.05
