Characteristic,Percentage change
Q4 '20,-2.4%
Q3 '20,-2.8%
Q2 '20,-9%
Q1 '20,0.3%
Q4 '19,2.3%
Q3 '19,2.1%
Q2 '19,2%
Q1 '19,2.3%
Q4 '18,2.5%
Q3 '18,3.1%
Q2 '18,3.3%
Q1 '18,3.1%
Q4 '17,2.8%
Q3 '17,2.4%
Q2 '17,2.2%
Q1 '17,2.1%
Q4 '16,2%
Q3 '16,1.6%
Q2 '16,1.3%
Q1 '16,1.6%
Q4 '15,1.9%
Q3 '15,2.4%
Q2 '15,3.3%
Q1 '15,4%
Q4 '14,2.9%
Q3 '14,3.1%
Q2 '14,2.7%
Q1 '14,1.4%
Q4 '13,2.6%
Q3 '13,1.9%
Q2 '13,1.3%
Q1 '13,1.6%
Q4 '12,1.5%
Q3 '12,2.5%
Q2 '12,2.4%
Q1 '12,2.7%
Q4 '11,1.6%
Q3 '11,0.9%
Q2 '11,1.7%
Q1 '11,1.9%
Q4 '10,2.6%
Q3 '10,3.2%
Q2 '10,2.8%
Q1' 10,1.7%
