Characteristic,"Deaths per 1,000 live births"
2020,5.0
2015,5.0
2010,6.0
2005,6.0
2000,6.0
1995,7.0
1990,9.0
1985,11.0
1980,15.0
1975,19.0
1970,25.0
1965,30.0
1960,37.0
1955,44.0
1950,54.58
1945,70.02
1940,86.09
1935,97.38
1930,125.3
1925,135.18
1920,238.97
1915,268.78
1910,262.85
1905,210.9
1900,296.75
1895,279.1
1890,269.56
1885,271.78
1880,279.28
1875,290.38
1870,297.7
1865,302.98
1860,307.04
1855,309.6
1850,313.26
1845,317.39
1840,323.07
1835,330.15
1830,333.47
