Characteristic,U.S. realms,EU realms
Human,14.4%,15%
Night Elf,11.6%,11.6%
Draenei,5.7%,5.3%
Worgen,4.9%,4.3%
Gnome,4.1%,3.6%
Dwarf,3.8%,3.9%
Pandaren (Alliance),2.2%,2.3%
Void Elf,1.9%,1.8%
Lightforged Draenei,0.9%,0.8%
Dark Iron Dwarf,0.8%,0.8%
Kul Tiran,0.4%,0.4%
Blood Elf,16.2%,15.2%
Orc,6.9%,7.6%
Tauren,6%,6.1%
Undead,5.9%,6.7%
Troll,5.5%,5.8%
Goblin,2.9%,2.7%
Pandaren (Horde),2.2%,2.2%
Nightborne,1.4%,1.4%
Highmountain Tauran,0.8%,0.7%
Mag'har Orc,0.8%,0.9%
Zandalari Troll,0.9%,0.9%
