Characteristic,Gross domestic product in billion U.S. dollars
2026*,566.63
2025*,542.84
2024*,519.39
2023*,495.61
2022*,471.41
2021*,446.71
2020,402.64
2019,394.65
2018,370.46
2017,352.67
2016,318.62
2015,300.12
2014,310.05
2013,292.69
2012,257.17
2011,261.47
2010,234.0
2009,207.47
2008,216.1
2007,178.96
2006,154.03
2005,142.53
2004,135.48
2003,126.97
2002,121.12
2001,130.76
2000,132.34
1999,117.11
1998,115.93
1997,114.69
1996,110.0
1995,100.39
1994,84.5
1993,74.03
1992,73.65
1991,65.91
1990,58.11
1989,49.24
1988,48.4
1987,39.07
1986,32.71
