Characteristic,Share of e-commerce sales
Electronic shopping and mail-order houses,73.8%
Nonstore retailers,65.1%
Total Retail Trade,9.9%
Clothing and clothing accessories stores,4.1%
"Sporting goods, hobby, musical instrument, and book stores",3.2%
Motor vehicle and parts dealers,3%
Electronics and appliance stores,2.1%
Furniture and home furnishings stores,1.3%
Building material and garden equipment and supplies dealers,0.7%
Food and beverage stores,0.6%
Health and personal care stores,0.2%
Miscellaneous store retailers,-
Gasoline stations,-
General merchandise stores,-
