Characteristic,Box office gross in million U.S. dollars
Star Wars: Episode VII - The Force Awakens,936.66
Avengers: Endgame,858.37
Avatar,760.51
Black Panther,700.43
Avengers: Infinity War,678.82
Titanic,659.36
Jurassic World,652.27
The Avengers,623.36
Star Wars: Episode VIII - The Last Jedi,620.18
Incredibles 2,608.58
The Lion King,543.64
The Dark Knight,534.85
Rogue One: A Star Wars Story,532.18
Star Wars: Episode IX - The Rise of Skywalker,515.2
Beauty and the Beast,504.48
Finding Dory,486.3
Frozen II,477.37
Star Wars: Episode I - The Phantom Menace,474.54
Star Wars: Episode IV - A New Hope,461.0
Avengers: Age of Ultron,459.01
