Characteristic,Amount contributed in U.S. dollars
University of California,1212245
Microsoft Corp,814645
Google Inc,801770
U.S. Government,728647
Harvard University,668368
Kaiser Permanente,588386
Stanford University,512356
Deloitte LLP,456975
Columbia University,455309
Time Warner,442271
U.S. Department of State,417629
DLA Piper,401890
Sidley Austin LLP,400883
Walt Disney Co,369598
IBM Corp,369491
University of Chicago,357185
University of Michigan,339806
Comcast Corp,337628
U.S. Department of Justice,334659
U.S. Department of Health & Human Services,309956
