Characteristic,Health index (2013 = 100)
Aug '20,110.2
Jul '20,110.16
Jun '20,110.05
May '20,110.1
Apr '20,110.22
Mar '20,109.96
Feb '20,109.87
Jan '20,109.72
Dec '19,109.18
Nov '19,109.0
Oct' 19,108.98
Sep '19,108.58
Aug '19,109.07
Jul '19,109.07
Jun '19,109.02
May '19,108.89
Apr '19,108.98
Mar '19,109.04
Feb '19,108.78
Jan '19,108.5
Dec '18,108.45
Nov '18,108.48
Oct '18,108.26
Sep '18,107.52
Aug '18,107.55
Jul '18,107.44
Jun '18,107.01
May '18,106.99
Apr '18,106.89
Mar '18,106.71
Feb '18,106.54
Jan '18,106.37
