Characteristic,Proportion of all skills gaps
New to role and/or training incomplete,73%
Staff are new to the role,60%
Their training is currently only partially completed,56%
Staff lack motivation,34%
They have been on training but their performance has not improved sufficiently,29%
The introduction of new working practices,28%
Unable to recruit staff with the required skills,26%
Staff have not received the appropriate training,26%
The introduction of new technology,20%
The development of new products and services,19%
Problems retaining staff,18%
