Characteristic,Crude birth rate
2020,11.5
2015,12.4
2010,12.5
2005,11.4
2000,12.5
1995,13.2
1990,13.7
1985,12.8
1980,12.0
1975,13.5
1970,16.9
1965,18.3
1960,16.4
1955,15.1
1950,18.42
1945,16.39
1940,15.12
1935,15.08
1930,16.5
1925,18.94
1920,19.1
1915,21.77
1910,23.56
1905,25.27
1900,28.26
1895,30.59
1890,31.42
1885,33.48
1880,35.32
1875,35.51
1870,36.12
1865,36.28
1860,36.04
1855,35.94
1850,35.08
1845,35.54
1840,35.74
1835,35.76
1830,37.32
1825,40.62
1820,40.96
1815,40.74
1810,39.68
1805,39.34
1800,36.6
